district,period,acp_accounts__acp_agri_ac,acp_accounts__acp_agri_amt,acp_accounts__acp_me_ac,acp_accounts__acp_me_amt,acp_accounts__acp_mse_ac,acp_accounts__acp_mse_amt,acp_accounts__acp_msme_ac,acp_accounts__acp_msme_amt,acp_accounts__acp_ops_ac,acp_accounts__acp_ops_amt,acp_accounts__acp_total_ps_ac,acp_accounts__acp_total_ps_amt,acp_accounts__acp_weaker_section_ac,acp_agriculture__acp_agri_infra_ac,acp_agriculture__acp_agri_infra_amt,acp_agriculture__acp_ancillary_ac,acp_agriculture__acp_ancillary_amt,acp_agriculture__acp_crop_ac,acp_agriculture__acp_crop_amt,acp_agriculture__acp_farm_credit_ac,acp_agriculture__acp_farm_credit_amt,acp_agriculture__acp_kcc_wc_ac,acp_agriculture__acp_kcc_wc_amt,acp_agriculture__acp_tl_ac,acp_agriculture__acp_tl_amt,acp_agriculture__acp_total_agri_ac,acp_msme__acp_medium_ac,acp_msme__acp_medium_amt,acp_msme__acp_micro_ac,acp_msme__acp_micro_amt,acp_msme__acp_msme_others_ac,acp_msme__acp_msme_others_amt,acp_msme__acp_small_ac,acp_msme__acp_small_amt,acp_msme__acp_total_msme_ac,acp_msme__acp_total_msme_amt,acp_other_priority__acp_education_ac,acp_other_priority__acp_education_amt,acp_other_priority__acp_export_ac,acp_other_priority__acp_export_amt,acp_other_priority__acp_housing_ac,acp_other_priority__acp_housing_amt,acp_other_priority__acp_others_ac,acp_other_priority__acp_others_amt,acp_other_priority__acp_renewable_ac,acp_other_priority__acp_renewable_amt,acp_other_priority__acp_social_infra_ac,acp_other_priority__acp_social_infra_amt,acp_other_priority__acp_total_ops_ac,acp_summary__acp_agri_achievement,acp_summary__acp_agri_pct,acp_summary__acp_agri_target,acp_summary__acp_me_achievement,acp_summary__acp_me_pct,acp_summary__acp_me_target,acp_summary__acp_mse_achievement,acp_summary__acp_mse_pct,acp_summary__acp_mse_target,acp_summary__acp_msme_achievement,acp_summary__acp_msme_pct,acp_summary__acp_msme_target,acp_summary__acp_ops_achievement,acp_summary__acp_ops_pct,acp_summary__acp_ops_target,acp_summary__acp_total_ps_achievement,acp_summary__acp_total_ps_pct,acp_summary__acp_total_ps_target,ambedkar_scheme__ambedkar_ach_pct,ambedkar_scheme__ambedkar_app_forwarded,ambedkar_scheme__ambedkar_disbursed,ambedkar_scheme__ambedkar_pending_gt14d,ambedkar_scheme__ambedkar_pending_gt30d,ambedkar_scheme__ambedkar_pending_gt90d,ambedkar_scheme__ambedkar_sanctioned,ambedkar_scheme__ambedkar_targets,ambedkar_scheme__ambedkar_total_pending,apy__apy_annual_target,apy__apy_branches,apy__apy_cumulative,apy__apy_current_fy_achievement,apy__apy_target_pct,credit_deposit_ratio__overall_cd_ratio,credit_deposit_ratio__total_advances,credit_deposit_ratio__total_deposit,jan_suraksha__jan_suraksha_pmjjby,jan_suraksha__jan_suraksha_pmsby,jan_suraksha__jan_suraksha_total,mnsupy__mnsupy_ach_pct,mnsupy__mnsupy_approved,mnsupy__mnsupy_disbursed,mnsupy__mnsupy_forwarded,mnsupy__mnsupy_pending,mnsupy__mnsupy_pending_gt14d,mnsupy__mnsupy_pending_gt30d,mnsupy__mnsupy_pending_gt90d,mnsupy__mnsupy_rejected,mnsupy__mnsupy_sanctioned,mnsupy__mnsupy_subsidy,mnsupy__mnsupy_targets,mnsupy__mnsupy_total_pending,non_priority_sector__nps_agri_ac,non_priority_sector__nps_agri_amt,non_priority_sector__nps_education_ac,non_priority_sector__nps_education_amt,non_priority_sector__nps_housing_ac,non_priority_sector__nps_housing_amt,non_priority_sector__nps_others_ac,non_priority_sector__nps_others_amt,non_priority_sector__nps_personal_ac,non_priority_sector__nps_personal_amt,non_priority_sector__nps_total_ac,non_priority_sector__nps_total_amt,nrlm__nrlm_app_forwarded,nrlm__nrlm_disbursed,nrlm__nrlm_pending_gt14d,nrlm__nrlm_pending_gt30d,nrlm__nrlm_pending_gt90d,nrlm__nrlm_sanctioned,nrlm__nrlm_targets,nrlm__nrlm_total_pending,nwr_pledge__nwr_disbursement_amt,nwr_pledge__nwr_disbursement_no,nwr_pledge__nwr_outstanding_amt,nwr_pledge__nwr_outstanding_no,pmajay__pmajay_app_forwarded,pmajay__pmajay_disbursed,pmajay__pmajay_pending_gt14d,pmajay__pmajay_pending_gt30d,pmajay__pmajay_pending_gt90d,pmajay__pmajay_sanctioned,pmajay__pmajay_targets,pmajay__pmajay_total_pending,pmegp__pmegp_forwarded_amt,pmegp__pmegp_forwarded_no,pmegp__pmegp_forwarded_to_bank,pmegp__pmegp_mm_claimed_amt,pmegp__pmegp_mm_claimed_no,pmegp__pmegp_mm_disbursed_amt,pmegp__pmegp_mm_disbursed_no,pmegp__pmegp_pending_amt,pmegp__pmegp_pending_no,pmegp__pmegp_returned,pmegp__pmegp_returned_amt,pmegp__pmegp_returned_no,pmegp__pmegp_sanctioned_amt,pmegp__pmegp_sanctioned_mm,pmegp__pmegp_sanctioned_no,pmjdy__pmjdy_aadhaar_pct,pmjdy__pmjdy_aadhaar_seeded,pmjdy__pmjdy_rupay_issued,pmjdy__pmjdy_rupay_pct,pmjdy__pmjdy_rural_ac,pmjdy__pmjdy_total_ac,pmjdy__pmjdy_total_deposit,pmjdy__pmjdy_urban_ac,pmjdy__pmjdy_zero_balance,pmjdy__pmjdy_zero_balance_pct,rseti__rseti_bank_finance,rseti__rseti_candidates_trained,rseti__rseti_credit_linkage_pct,rseti__rseti_progs_conducted,rseti__rseti_self_employment,rseti__rseti_self_finance,rseti__rseti_settled,rseti__rseti_settled_pct,rseti__rseti_target_candidates,rseti__rseti_target_progs,rseti__rseti_wage_employment,vishwakarma__vishwakarma_avg_forward_pct,vishwakarma__vishwakarma_disbursed,vishwakarma__vishwakarma_forwarded_fi,vishwakarma__vishwakarma_pending_fi,vishwakarma__vishwakarma_recd_dic,vishwakarma__vishwakarma_sanctioned,vishwakarma__vishwakarma_target_amt
Churu,September 2025,253446,406864,555,1502,16636,123352,17191,124854,2632,6677,273269,538395,100816,79,2602,272,11944,227195,336919,253095,392318,10497,17987,15403,37414,253446,11,568,16349,96885,544,934,287,26467,17191,124854,209,302,0,0,398,2341,1370,2805,654,1184,1,45,2632,406864.25,53.37,762300,1501.63,79.03,1900,123351.73,72.69,169700,124853.36,72.76,171600,6675.76,55.17,12100,538393.37,56.91,946000,16,74,70,16,44,0.49,21,43,10,19240,211,95354,7184,37.0,103.84,1366294,1315775,322117,804329,1126446,48.0,,27,174,,12,52,410,,59,,124,474,191,1599,40,341,582,7843,20355,64503,4829,21785,25997,96071,2540,1181,90,54,68,1181,3265,830,0,0,0,0,0,0,0,0,0,0,50,0,200.42,32,,140.51,35,158.73,26,118.46,19,,44.26,8,84.21,,10,92.81,1045990,829667,73.62,782152,1126972,5897721170.49,344820,59767,5.3,213,449,65.0,14,329,116,329,73.0,1150,33,0,,,,,,,
Dausa,September 2025,147379,130589,262,3561,17303,88027,17565,91588,2268,6044,167212,228221,116793,201,740,6417,8307,111083,89920,140761,121542,8803,10694,20875,20928,147379,15,3173,17070,68823,247,388,233,19204,17565,91588,104,160,0,0,685,3581,1203,1862,275,434,1,7,2268,130589.8,48.01,272000,3561.53,63.6,5600,88027.81,61.13,144000,91589.34,61.22,149600,6045.07,47.6,12700,228224.21,52.55,434300,14,94,73,33,19,0.38,28,74,21,13895,157,102213,7934,57.0,85.55,810348,947227,252453,608933,861386,94.0,,14,131,,8,44,418,,33,,35,470,160,883,24,161,589,9054,16061,78787,3326,20775,20160,109660,2413,1275,154,787,3,1275,2781,914,0,0,0,0,27,0,0,0,25,2,90,25,420.51,93,,202.53,41,197.27,57,184.78,37,,109.38,22,185.85,,37,93.61,924934,755940,76.51,828553,988078,6128334178.67,159525,74272,7.52,56,314,36.0,11,155,99,155,49.0,1150,34,0,,,,,,,
Dholpur,September 2025,42598,61880,131,1499,4604,49139,4735,50638,570,1634,47903,114152,30229,31,577,232,6592,29445,33092,42335,54711,3481,4158,9409,17462,42598,4,1302,4479,30764,127,197,125,18375,4735,50638,80,122,0,0,139,1054,121,97,230,361,0,0,570,61881.1,61.24,101051,1499.09,0.0,2622,49139.2,66.82,73542,50638.29,66.49,76164,1633.65,30.54,5350,114153.04,62.53,182565,400.0,34,39,7,32,0.14,4,29,0,6065,64,67046,5664,93.0,71.1,369175,519237,115658,428728,544386,100.0,,0,213,,41,38,50,,20,,20,129,39,1014,14,124,136,1895,6656,24523,1600,9240,8445,36796,1345,1133,95,83,5,1133,2088,122,45000,1,32660.5,3,42,1,4,10,22,2,60,35,158.94,36,,144.52,38,144.28,39,125.44,24,,27.5,10,5.21,,2,89.81,764759,571825,67.15,491980,851503,3166159357.6,359523,81026,9.52,31,374,24.0,12,128,97,128,34.0,1150,37,0,,,,,,,
Dungarpur,September 2025,86644,66762,133,3910,7528,47481,7661,51391,1420,3600,95725,121753,71075,29,74,681,1767,62784,38270,85934,64921,3936,5851,19214,20800,86644,17,3692,7401,34278,116,218,127,13203,7661,51391,84,165,0,0,347,2501,849,678,140,256,0,0,1420,66762.44,44.24,150900,3909.87,65.16,6000,47481.21,60.03,79100,51391.08,60.39,85100,3600.86,984.0,36600,121754.38,44.66,272600,600.0,61,155,32,104,0.06,6,93,19,10370,119,86030,6142,59.0,61.16,491712,804021,270693,565135,835828,74.0,,4,56,,0,13,24,,23,,31,37,26,169,11,126,569,6210,9574,36532,2794,13880,12974,56917,4101,3245,0,528,0,3245,4111,832,0,0,0,0,0,0,0,0,0,0,50,0,176.79,35,,41.81,11,16.49,5,150.04,29,,20.75,4,35.04,,6,93.18,884068,800808,84.41,906700,948725,4729358034.56,42025,35874,3.78,149,510,69.0,16,215,66,216,42.0,1150,35,1,,,,,,,
Ganganagar,September 2025,292217,786089,2378,36474,23944,393362,26322,429836,9407,22997,327946,1238922,198414,144,6421,2952,151854,239702,501964,289121,627814,12495,17756,36924,108094,292217,222,32459,22789,266198,2156,4015,1155,127164,26322,429836,462,970,0,0,2298,12707,3532,3277,3113,6032,2,11,9407,785971.07,58.06,1353800,36474.06,41.31,88300,393362.63,62.89,625500,429836.69,60.22,713800,22996.23,80.97,28400,1238803.99,59.1,2096000,17,71,72,20,46,0.25,17,68,6,29310,333,150261,12324,42.0,146.55,2733062,1864969,356399,955402,1311801,25.0,,6,37,,1,12,109,,15,,59,122,1107,10635,110,1371,2050,29131,42478,189627,6172,28316,51917,259080,1443,1035,6,0,37,1035,3128,209,261000,2,322329.12,14,476,90,35,31,268,90,150,334,257.04,23,,582.53,75,505.95,64,185.32,15,,13.25,3,117.62,,8,92.69,850095,646004,70.44,732828,917157,4131477861.88,184329,85217,9.29,101,287,52.0,11,196,95,196,68.0,1150,33,0,,,,,,,
Hanumangarh,September 2025,323565,658234,1314,10332,15126,212055,16440,222387,6986,13241,346991,893862,201208,197,3176,3405,52499,278434,505833,319963,602559,13821,18277,27708,78449,323565,68,7546,14492,152803,1246,2786,634,59252,16440,222387,254,497,0,0,1580,6392,3205,3065,1946,3282,1,5,6986,658277.59,54.77,1201892.88,10331.43,46.26,22334.8,212055.07,72.62,291986.66,222386.5,70.75,314321.46,13240.18,47.69,27765,893904.27,57.9,1543979.34,1000.0,29,48,12,29,0.25,12,48,7,21335,243,121917,11363,53.0,185.64,2033997,1095679,323218,810539,1133757,14.0,,5,18,,0,3,68,,9,,66,71,905,7988,40,448,1240,14464,24377,81761,3776,17701,30338,122362,3069,1610,38,97,10,1610,2950,1126,120000,4,94088.86,14,258,38,1,66,129,38,80,196,441.94,51,,378.92,50,163.36,27,353.2,39,,71.24,11,55.55,,9,90.95,839504,652578,70.7,737521,923020,4285302171.07,185499,82661,8.96,169,420,57.0,13,298,129,298,71.0,1150,41,0,,,,,,,
Jaipur,September 2025,469501,1006212,6307,1122384,79241,3751134,85548,4873518,44484,213203,599533,6092933,360005,257,12972,5020,440323,342897,340363,464224,552917,20979,37658,100348,174896,469501,3002,1110894,68433,1956873,3305,11490,10808,1794261,85548,4873518,3715,7430,24,2944,25503,158802,11125,12918,4102,29942,15,1167,44484,1006304.88,61.1,1647100,1122383.41,52.19,2150700,3751134.17,70.59,5313600,4873517.58,65.29,7464300,213203.61,44.55,478600,6093026.07,63.54,9590000,96,243,259,78,130,0.7,97,138,51,103275,1211,463834,36274,35.0,100.47,23514364,23404239,1311108,2949589,4260697,90.0,,22,113,,9,30,393,,36,,40,432,1740,359199,1033,13308,18786,491456,396266,3744230,48768,213317,466593,4821510,2557,2322,24,48,23,2322,3754,235,10000,1,179768.06,17,154,0,0,54,100,0,490,154,1584.94,165,,2531.18,243,1319.01,146,1083.71,116,,124.64,12,605.03,,53,91.57,2895915,2501582,79.1,1718155,3162469,23083292764.21,1444314,242891,7.68,178,621,47.0,22,369,191,375,59.0,1150,38,6,,,,,,,
Jaisalmer,September 2025,103817,123578,65,1943,2965,57163,3030,59106,1529,3622,108376,186306,27184,121,971,6486,4115,84588,99026,97210,118493,2671,3140,9951,16326,103817,6,1850,2840,31938,59,93,125,25225,3030,59106,28,58,0,0,165,948,1269,295,67,2321,0,0,1529,122722.88,61.03,201070,1942.82,0.0,0,57162.43,81.86,69829,59105.25,84.64,69829,3622.18,138.94,2607,185450.31,67.8,273506,300.0,20,20,2,18,0.25,3,12,0,6930,73,28672,2365,34.0,151.24,575611,380582,122966,256917,379883,70.0,,5,55,,6,7,166,,14,,20,179,21,122,6,55,301,4660,12887,53779,2391,8086,15606,66702,333,104,33,34,2,104,468,213,125518,79,139890,116,0,0,0,0,0,0,80,0,87.17,12,,33.43,7,79.31,8,82.45,10,,2.31,1,20.91,,2,92.22,296108,227709,70.92,299139,321085,1724372846.06,21946,21620,6.73,125,411,49.0,18,254,129,254,62.0,1150,40,0,,,,,,,
Jalore,September 2025,184653,186837,141,3599,7846,89630,7987,93229,1963,3153,194603,283219,88685,3,31,2523,7315,164563,159665,182127,179492,3335,3955,14229,15872,184653,12,3384,7576,69043,129,215,270,20587,7987,93229,60,94,0,0,629,2070,1128,746,146,243,0,0,1963,153071.76,43.39,352819.3,3598.43,75.01,4797,89629.66,64.79,138345,93228.09,65.13,143142,3152.98,30.06,10487.4,249452.83,49.26,506448.7,23,52,32,18,2,0.45,23,51,12,13265,143,82087,6688,50.0,87.04,708110,813516,298854,626297,925151,50.0,,5,20,,2,3,29,,10,,20,34,65,316,8,70,491,6344,13508,43089,2135,10543,16207,60362,280,127,156,202,165,127,637,97,0,0,52492.04,2,0,0,0,0,0,0,60,0,185.98,26,,146.58,25,192.56,24,121.35,16,,38.74,6,22.75,,4,93.19,1031591,654464,59.12,1027038,1106963,6994461523.7,79925,73818,6.67,157,422,52.0,14,303,146,303,72.0,1150,41,0,,,,,,,
Jhalawar,September 2025,299058,371125,163,2421,8967,67660,9130,70081,1836,3152,310024,444358,153472,32,147,1674,16436,244926,280661,297352,354543,20149,27485,32277,46397,299058,10,2173,8681,47080,153,248,286,20580,9130,70081,130,200,0,0,370,1503,1153,586,183,863,0,0,1836,236747.66,49.78,475624.35,2420.68,35.6,6800,67660,71.75,94300.5,70080.68,69.32,101100.5,3151.18,35.81,8800.35,309979.52,52.94,585525.2,1000.0,60,18,3,6,0.62,25,40,9,10820,129,85417,6729,62.0,129.9,846374,651547,219512,563273,782785,0.0,,0,3,,0,1,16,,0,,20,17,135,715,21,151,315,3313,13159,49613,2874,12220,16504,66012,2035,1364,12,40,247,1364,3224,299,0,0,0,0,60,7,0,9,14,7,60,23,263.95,70,,226.43,33,161.46,32,112.85,31,,116.3,31,42.65,,11,87.41,785319,659674,73.42,696976,898439,2780487411.58,201463,66502,7.4,66,527,37.0,16,179,113,179,34.0,1150,35,0,,,,,,,
Jhunjhunu,September 2025,180903,224117,832,5678,11799,150166,12631,155844,3416,9255,196950,389216,140185,100,655,2285,14142,124649,115339,178518,209320,26987,41132,26882,52849,180903,87,4493,11416,110973,745,1185,383,39193,12631,155844,681,1288,0,0,427,2487,1425,4061,882,1415,1,4,3416,389341.59,55.78,698000,5678.08,62.74,9050,150165.3,66.99,224150,155843.38,66.83,233200,9255.11,39.38,23500,554440.08,58.07,954700,11,51,41,19,6,0.38,14,37,16,24060,269,150396,10478,44.0,79.31,1574985,1985936,420108,1019172,1439280,120.0,,70,160,,8,8,73,,112,,93,89,118,3358,449,1791,611,10334,46421,121169,10862,43442,58461,180094,2281,1474,37,117,43,1474,2991,606,0,0,0,0,57,0,0,12,47,0,60,59,0,0,,0,0,0,0,0,0,,0,0,0,,0,91.59,913353,783752,78.59,756975,997205,6065542366.93,240230,48970,4.91,169,432,51.0,15,330,161,330,76.0,1150,30,0,,,,,,,
Jodhpur,September 2025,144641,342413,1660,214097,26757,1121590,28417,1335687,24198,65123,197256,1743223,85250,252,5241,1230,134736,118371,144289,143159,202436,3976,5140,20812,53006,144641,552,212138,24097,596049,1108,1959,2660,525541,28417,1335687,1115,2891,3,2017,17082,37860,4590,11017,1407,11335,1,3,24198,337757.02,54.44,620430,214096.53,62.07,344920,1121590.02,73.5,1525880,1335686.55,71.4,1870800,65125.48,58.79,110770,1738569.05,66.82,2602000,14,59,133,27,82,0.26,14,54,24,35135,402,152838,12591,36.0,84.56,5004067,5918036,625125,1290627,1915752,50.0,,15,102,,10,31,300,,25,,50,341,304,6524,306,2483,4804,103050,105009,586941,12347,57133,122770,756131,754,668,141,135,91,668,1945,86,129500,5,61524.9,13,179,26,0,50,29,42,60,79,909.76,73,,2646.97,209,2242.25,173,474.86,42,,48.93,5,469.45,,33,94.35,1594970,1158380,68.52,1212006,1690479,9428720232.09,478473,113710,6.73,94,496,31.0,19,289,195,306,58.0,1150,38,17,,,,,,,
Karauli,September 2025,79022,107112,26,1038,4719,43771,4745,44809,573,1571,84340,153492,57649,197,245,632,3298,58068,76805,78193,103568,9275,12632,10850,14132,79022,5,983,4603,33483,21,55,116,10288,4745,44809,83,124,0,0,160,1066,273,280,54,94,3,7,573,73114.93,46.63,156800,1038.1,49.43,2100,43770.19,66.93,65400,44808.29,66.38,67500,1570.94,44.76,3510,119494.16,52.45,227810,20,50,53,21,21,0.32,20,63,11,10145,111,71127,4950,49.0,69.89,457021,653915,175715,555172,730887,90.0,,15,74,,2,19,107,,18,,20,128,52,573,20,202,256,3656,9588,33064,2695,14952,12611,52447,1199,771,6,20,9,771,3386,148,0,0,0,0,0,0,0,0,0,0,60,0,185.22,41,,202.4,49,131.57,39,117.32,24,,55.65,13,38.5,,8,90.56,812930,750022,83.56,696483,897623,4837218924.24,201140,54897,6.12,190,412,57.0,13,336,146,336,82.0,1150,40,0,,,,,,,
Kota,September 2025,150145,344570,716,79877,25664,509009,26380,588886,8942,30431,185467,963887,113747,86,6253,2021,130853,113329,139540,148038,207464,11153,16867,23556,51057,150145,277,78968,23877,285677,439,909,1787,223332,26380,588886,817,1471,3,10,2786,24389,4684,3376,649,1079,3,106,8942,372224.04,60.59,614373.34,79878.9,61.42,130050,509003.71,68.98,737950,588882.61,67.84,868000,30431.35,43.01,70749,991538.0,63.84,1553122.34,700.0,35,56,13,34,0.12,7,56,9,24895,285,124539,9254,37.0,76.16,2767611,3634129,354783,754426,1109209,6.0,,1,42,,11,10,72,,6,,97,93,186,4105,148,1358,2845,55965,62914,355903,8814,48304,74907,465635,1606,1173,405,295,305,1173,3071,421,0,0,3072.44,2,0,8,0,0,0,0,60,0,547.73,101,,450.36,37,409.19,34,443.38,77,,48.25,17,101.06,,10,91.11,750201,615070,74.7,370237,823410,4653554019.39,453173,56105,6.81,48,211,49.0,8,97,49,97,46.0,1150,38,0,,,,,,,
Nagaur,September 2025,146026,199108,128,12828,6757,107345,6885,120173,2350,5920,155261,325201,68813,34,718,387,32852,127292,128502,145605,165538,5466,6134,12847,30901,146026,61,12723,6387,72114,67,105,370,35231,6885,120173,76,139,0,0,797,3304,1369,2291,108,186,0,0,2350,199120.4,52.66,378100,12827.51,103.45,12400,107344.9,58.24,184300,120172.41,61.09,196700,5920.88,43.22,13700,325213.69,55.26,588500,800.0,29,52,9,39,0.37,13,35,4,13040,151,84374,7563,58.0,133.87,1004979,750688,554910,1121545,1676455,33.0,,4,41,,7,5,55,,5,,15,67,170,961,7,155,406,4961,18610,67074,3180,16527,22373,89678,1139,671,35,37,0,671,1903,428,0,0,7869.87,1,23,0,4,11,4,0,50,19,588.96,67,,1250.35,111,527.59,63,327.73,44,,23,3,397.82,,30,93.37,1754597,1229758,65.44,1504857,1879272,10279166388.8,374415,116419,6.19,43,346,66.0,12,65,22,65,19.0,1150,34,0,,,,,,,
Pali,September 2025,103623,143960,549,37264,12301,248224,12850,285488,5242,10209,121715,439657,69508,15,107,609,31649,85686,83216,102999,112204,6479,8560,10834,20429,103623,71,36430,11634,148488,478,834,667,99736,12850,285488,163,244,0,0,2124,6944,2454,1536,501,1485,0,0,5242,143494.04,52.57,272955.28,37264.43,139.05,26800,248224.4,70.99,349638,285488.83,75.84,376438,10209.09,66.0,15469.07,439191.96,66.06,664862.35,15,45,66,20,35,0.46,16,35,11,18380,203,126468,11876,65.0,72.56,1034794,1426181,489321,954200,1443521,70.0,,10,33,,4,8,90,,14,,20,102,69,496,18,173,991,12544,31879,105258,3546,15908,36503,134379,987,915,89,75,135,915,2238,60,0,0,0,0,40,0,0,18,22,0,60,40,259.57,29,,276.45,27,202.14,20,250.82,26,,5.25,2,13.66,,3,92.69,1118933,771480,63.91,950868,1207170,9803808529.57,256302,73654,6.1,115,597,53.0,24,217,102,217,36.0,1150,42,0,,,,,,,
Pratapgarh,September 2025,75524,69729,58,189,5795,27072,5853,27261,783,1741,82160,98731,67147,89,292,304,2483,64176,53156,75131,66954,2913,3686,8042,10114,75524,3,101,5705,19021,55,88,90,8051,5853,27261,35,53,0,0,172,1118,495,434,81,136,0,0,783,84135.08,42.71,197000,188.49,31.42,600,27072.09,56.22,48150,27260.58,55.92,48750,1741.01,46.43,3749.99,113136.67,45.35,249499.99,700.0,23,25,7,9,0.13,7,55,9,5605,64,58958,4647,83.0,131.23,390447,297519,160451,384587,545038,5.0,,0,21,,10,4,15,,1,,20,29,67,751,8,66,232,2581,5358,19514,957,5041,6622,27953,1025,742,3,117,39,742,2700,239,0,0,0,0,400,353,0,0,47,353,365,47,130.22,32,,174.45,25,159.65,28,77.04,18,,32.75,7,33.87,,11,90.47,568719,495097,78.76,584857,628642,1755125632.08,43785,32130,5.11,172,504,43.0,17,401,229,401,80.0,1150,33,0,,,,,,,
Rajsamand,September 2025,53770,51330,254,9032,9533,108590,9787,117622,2779,5831,66336,174783,47672,8,348,383,2383,42740,28224,53379,48599,2266,2590,8373,17785,53770,8,8562,9191,75328,246,470,342,33262,9787,117622,113,154,0,0,883,4172,1486,953,297,552,0,0,2779,51331.06,39.43,130180,9032.1,66.9,13500,108590.73,51.53,210740,117622.83,52.45,224240,5831.21,14.99,38893,174785.1,44.44,393313,900.0,21,58,13,41,0.36,10,28,4,10990,128,81928,5906,54.0,70.07,644420,919724,291328,516211,807539,110.0,,21,29,,0,6,24,,22,,20,30,101,1376,9,113,686,7859,18209,56493,3048,13821,22053,79662,1310,1049,5,38,166,1049,3627,261,0,0,0,0,26,6,0,10,0,10,30,10,397.44,32,,600.66,50,633.09,52,221.81,18,,3.68,1,302.12,,17,91.38,639719,545336,77.9,626545,700038,5009710973.01,73493,45899,6.56,207,407,82.0,16,253,46,253,62.0,1150,42,0,,,,,,,
Sawai Madhopur,September 2025,223860,320307,88,507,7324,74094,7412,74601,1577,2944,232849,397852,117869,102,324,397,14017,171100,241354,223361,305966,29851,40503,22410,24109,223860,8,380,7104,51501,80,127,220,22593,7412,74601,106,171,0,0,421,2000,931,585,119,188,0,0,1577,150166.5,47.42,316700,507.48,33.83,1500,74093.57,61.13,121200,74601.05,60.8,122700,2943.57,42.66,6900,227711.12,51.02,446300,54,129,111,19,86,1.04,54,52,6,14335,159,70950,4773,33.0,81.97,746764,911070,202316,562737,765053,81.0,,25,175,,11,39,129,,39,,48,179,96,779,13,140,483,7029,12144,41988,2563,15299,15299,65235,1069,414,33,8,0,414,3144,417,0,0,0,0,52,0,11,41,0,0,100,52,427.36,99,,281.82,75,283.68,71,253.41,55,,113.7,32,79.61,,21,89.7,634847,569130,80.42,459911,707735,4918140960.26,247824,40170,5.68,48,324,21.0,11,228,180,229,70.0,1150,33,1,,,,,,,
Sikar,September 2025,224675,299547,1289,18916,17823,238527,19112,257443,5074,15448,248861,572438,174694,271,1229,385,11961,172579,187957,224019,286357,25850,34119,25590,64281,224675,48,16901,17258,175513,1241,2015,565,63014,19112,257443,408,626,0,0,1286,6451,1904,2160,1470,5639,6,572,5074,487595.44,51.42,948182.8,18915.69,37.44,50520.26,238527.52,68.09,350298.33,257443.21,64.23,400818.59,15446.18,44.12,35012.64,760484.83,54.95,1384014.03,25,86,68,14,46,0.66,31,47,8,28290,325,162774,11953,42.0,105.61,2365857,2240096,504342,1152673,1657015,61.0,,14,53,,0,11,89,,22,,36,100,242,2995,69,899,1306,21153,56847,175967,11712,49950,70176,250964,1608,1346,100,33,0,1346,3289,134,0,0,0,0,27,0,0,2,20,5,50,22,352.84,43,,474.2,66,177.87,26,308.31,36,,6,2,47.9,,6,91.08,1227538,1008338,74.82,1015926,1347770,8354533286.46,331844,89776,6.66,218,384,68.0,13,313,95,319,82.0,1150,39,6,,,,,,,
Sirohi,September 2025,58275,58241,269,3195,6317,97564,6586,100759,1683,4387,66544,163387,38500,4,72,291,4101,48083,38718,57980,54068,5782,6528,4115,8823,58275,54,2861,6021,64965,215,334,296,32599,6586,100759,176,285,0,0,587,3160,679,544,241,398,0,0,1683,58178.13,43.44,133914,3194.96,168.96,1891,97563.65,79.35,122959,100758.61,80.7,124850,4386.95,15.83,27721,163323.69,57.01,286485,700.0,28,30,11,10,0.33,15,46,9,10835,125,58030,5296,49.0,53.68,496107,924220,251529,451838,703367,10.0,,0,51,,6,12,42,,2,,20,60,10,71,16,232,564,7244,13899,59342,1933,8881,16422,75770,207,194,44,114,0,194,2120,13,0,0,0,0,12,0,0,0,12,0,40,12,203.87,21,,496.78,38,161.14,17,168.07,16,,19.25,2,88.92,,10,92.7,554123,389281,65.12,535578,597758,4531864057.92,62180,36338,6.08,190,601,45.0,22,422,232,422,70.0,1150,40,0,,,,,,,
Tonk,September 2025,204177,314826,144,1256,9564,92125,9708,93381,1857,5393,215742,413600,139647,65,793,729,56284,158004,188186,203383,257750,21402,34288,23977,35276,204177,8,1022,9317,66164,136,234,247,25961,9708,93381,149,260,0,0,522,2917,1007,1417,177,798,2,1,1857,314826.01,56.85,553800,1255.7,29.9,4200,92124.73,55.33,166500,93380.43,54.7,170700,5393.19,19.33,27900,413599.63,54.97,752400,22,86,123,24,87,0.49,22,45,12,15230,172,97705,5849,38.0,107.95,1011003,936526,320341,659809,980150,15.0,,2,27,,5,10,185,,3,,20,200,212,1278,24,215,678,9516,28046,51276,2317,12613,31277,74898,1876,1180,14,734,50,1180,3990,548,0,0,0,0,143,0,0,24,97,22,60,121,238.54,63,,235.88,31,288.28,38,128.74,42,,46.55,12,64.16,,10,93.27,720095,624753,80.92,554068,772041,5929477215.15,217973,44246,5.73,104,555,79.0,18,132,28,132,24.0,1150,36,0,,,,,,,
